"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover","cluster"
"41518aca-bea3-4b63-b997-c217968d8316","felis","pardalis",-79.4,0.45,85,247,1869,12,4
"415192ff-1c25-48eb-a858-3cc6d3f15aab","lynx","canadensis",-148.005,64.748056,129,-9,321,1,1
"415ae890-2b58-4174-929a-12664a378a8c","leopardus","pardalis",-89.2230556,18.6872222,220,246,1171,10,2
"4161aad2-8461-47d6-acb2-d375d57f73d7","lynx","canadensis",-116.083333,52.466667,1435,16,651,1,5
"4166d9b3-0571-498a-8e0d-3e8586a085ea","lynx","canadensis",-149.985553173663,61.2383413925083,0,37,483,7,1
"417a1b50-7120-46a6-89bf-e74a1af1ba65","puma","concolor",-124.3167,49.3167,51,106,1051,5,1
"41818727-4ff9-40f1-a43d-7e22b8177796","puma","concolor",-109.2471,44.3786,1841,59,309,1,5
"4181ab0b-2d18-424a-a1ba-258eb4705294","puma","concolor",-109.871435125516,32.7017684329626,3172,56,414,1,5
"4193a2d1-6bd6-438c-a1ee-2fe3850ec6c0","puma","concolor",-76.360536,1.863141,2031,161,1580,2,2
"41944f08-d42f-44ce-980b-899bd45138d1","puma","concolor",-122.680885,42.510078,689,112,874,1,1
"41a590fe-74c2-49e1-a54d-0c4452de6704","lynx","canadensis",-148.1333333333,64.4666666667,164,-6,358,1,1
"41ad29f9-c793-4752-9338-ad8c6ef8ccf0","puma","concolor",-81.35694,27.06694,37,226,1338,14,4
"41bffb07-3a12-4c29-adb4-2c51a69151d6","puma","concolor",-116.669342,47.437964,724,93,574,10,6
"41d45389-56bc-46f7-b689-c67bb77dd5ee","panthera","onca",-59.516667,2.833333,112,263,1450,9,2
"41e3dd9f-8017-40b4-9d09-b7eedc9577f9","leopardus","pardalis",-77.596631,7.778326,652,221,2698,14,3
"41eb7c18-23c2-4462-bf9d-b440667eb29d","puma","concolor",-114.65861,37.461354,1792,122,283,8,6
"41ef056e-0cca-4058-8590-8515716c65ad","lynx","canadensis",-146.5838888889,62.0191666667,696,-19,384,7,1
"41fad1a2-e958-4a8c-8e5e-9ce1848b7839","lynx","canadensis",-71.0106201,44.694252,512,50,1204,17,6
"41fc1421-40a8-450d-9a2f-b03bfb9a4136","lynx","canadensis",-120.0114,47.8344,395,103,246,10,6
"41ffbcef-f106-4209-a0cf-458dbe2f4773","lynx","canadensis",-110.307251,42.912454,2299,38,323,4,5
"422d0dbe-b116-4e18-afea-b97e0dcb65f9","leopardus","pardalis",-85.613588,11.218207,47,265,1500,12,4
"422efc3c-bebc-4976-b241-0a7102ef5705","leopardus","pardalis",-67.65,5.4,87,255,2146,14,4
"42348b59-45bb-4f79-b968-915f0fccbec9","puma","concolor",-108.70671,32.73231,1290,175,266,7,1
"423531d0-2eeb-44ea-bdfa-6ed0fb7a3537","puma","concolor",-106.424304,34.176978,1766,138,337,7,6
"42517d46-0ffd-4ff3-9d54-a7ab271a106e","felis","pardalis",-61.733333,7.333333,181,253,1230,14,4
"4264c67c-345f-455a-b44c-82e10e29368e","puma","concolor",-102.1350021,30.7199993,843,189,351,10,4
"427b3175-e119-48bc-a726-e08ec253cbac","leopardus","pardalis",-42.9,-20.25,372,237,1114,8,2
"42a85927-10c5-4da9-a148-d4a49a95e86d","puma","concolor",-115.436794,45.826853,1249,78,630,1,1
"42c67495-2435-4dae-9a18-da051704d07b","puma","concolor",-122.334047,48.421216,11,117,915,13,6
"42db685b-616e-4103-b0b4-3ad38a37dc2c","lynx","canadensis",-142.268333,62.573611,610,-17,256,7,1
"42e19385-12ce-4e66-828d-15df5bc7e1d1","lynx","canadensis",-84.35,49.7666667,248,15,787,5,1
"42e2cb40-63f1-40ba-b3a2-c71a80d19296","puma","concolor",-108.197133,38.538268,1824,95,224,10,6
"42e3682e-2b6e-42cd-8ec3-41d72654c7c2","lynx","canadensis",-144.853611,61.217222,90,26,559,7,1
"42fe9dcf-35b2-4cdd-bc7b-9d654584145d","puma","concolor",-103.323787,29.49214,1036,198,334,7,1
"43092bc2-aa6f-4731-9464-19fd2b11cfed","panthera","onca",-90.256156,16.788955,189,246,1826,2,2
"432bf363-0b24-4e1d-9f0c-4b4e450787db","puma","concolor",-103.513777,19.57287,1783,173,1186,8,6
"432c4fef-f612-4028-a5c2-94e325f696b2","puma","concolor",-118.177074,46.554497,208,129,265,7,4
"43603449-f01e-41d3-a476-7d4c6e10ee6c","lynx","canadensis",-149.902484573621,61.2175040645366,16,36,450,17,6
"43642b6e-aa43-4806-a4fa-50608842561f","puma","concolor",-72.71667,-37.8,90,135,873,12,6
"43712844-4096-43f3-8e50-3fc3eb10f61d","lynx","canadensis",-144.9453,61.7353,387,5,297,7,1
"437d5011-29fb-42b1-8f8e-223b19bcce29","lynx","canadensis",-150.552805099136,63.3328323864994,1032,-48,635,7,1
"438ebde7-c7f5-4ddb-9db7-53625a1f4bcb","lynx","canadensis",-117.416667,51.516667,982,45,756,10,6
"439eed2b-7e44-42eb-9141-31c4f351ccdc","lynx","canadensis",-144.36,63.11,1205,-50,457,7,1
"43ac6174-57e2-400e-9f42-2ceafd5874aa","lynx","canadensis",-143.8,63.4833333333,448,-16,279,5,1
"43b0677d-74a8-4967-bb2e-cf60d114e8ac","panthera","onca",-88.575966,20.681512,31,258,1188,12,4
"43c5a393-902a-422d-a7a8-b662d9bf1520","puma","concolor",-109.528748,40.455516,1628,98,191,12,6
"43d304a9-954e-438a-861b-29558e22de0a","lynx","canadensis",-82.61715,46.75945,486,32,929,5,1
"4410ab06-6104-4ee6-9e13-7df8b5ca5ab2","lynx","canadensis",-119.15,55.15,728,37,527,14,6
"443f7735-a0ae-4acd-a868-0dbbcf75e5cb","puma","concolor",-104.745787,32.190942,1777,137,343,8,6
"444fc3b3-8279-4ce4-843a-0f96d7f0f247","lynx","canadensis",-122,52,875,57,365,1,1
"44514453-baae-467a-a24a-825268e7ae9e","puma","concolor",-80.8826,25.9597,8,237,1458,12,4
"445a4705-3162-4401-ac97-54c265533694","puma","concolor",-114.830179994822,50.5083779330336,1790,10,478,1,5
"4460db16-7cba-4fac-b26d-d13a1a773830","lynx","canadensis",-57.416667,53.583333,44,5,1003,5,1
"4482d88f-4d61-4d2c-be40-52c6f7f86e94","puma","concolor",-75.76582,-5.117659,126,252,2005,2,2
"448b6f07-dd1e-402f-9598-4996d77c140b","puma","concolor",-106.3940806,36.40704246,2417,73,474,8,6
"4493d754-6272-461c-b32d-e2068f9a00d8","lynx","canadensis",-149.2666666667,65.0666666667,96,-15,285,7,1
"4493e4b5-8e50-498d-8e4c-9b3de8c02a38","puma","concolor",-107.80493,38.26413,2312,66,328,1,5
"449f63fd-12d2-488d-a217-bd3e7b0b41b5","lynx","canadensis",-113.766666666667,61,163,-20,310,7,1
"44add850-4dc0-4e1d-bbde-0488c115930d","leopardus","pardalis",-97.943647,33.820378,274,182,774,8,4
"44f920fe-0f20-4855-8476-7ae401ad7a63","lynx","canadensis",-149.199730724119,64.8978393702357,100,-12,295,5,1
"450d74e2-ff09-4d3c-85a9-a84ded2fce00","puma","concolor",-118.240906898091,34.040012506691,78,195,409,13,4
"451c93b3-4e40-4bfe-a862-8f6e0e45a3c7","lynx","canadensis",-149.355556,60.355,134,40,1016,17,6
